,time / s,ch4 / ppm,v0 / volts,v1 / volts,v2 / volts,bg v0 / volts,bg v1 / volts,bg v2 / volts
42,87900,330,-0.0807341379310345,0.014589655172413795,0.0003480724137931035,-0.02813655172413793,0.018223103448275865,0.018223103448275865
43,89700,383,-0.08215241379310344,0.01428551724137931,0.0002737896551724138,-0.02813655172413793,0.018223103448275865,0.018223103448275865
44,91500,465,-0.0844358620689655,0.013720689655172409,0.0002895758620689655,-0.02813655172413793,0.018223103448275865,0.018223103448275865
45,93300,343,-0.08088275862068964,0.014597241379310346,0.00020760689655172413,-0.02813655172413793,0.018223103448275865,0.018223103448275865
46,95100,399,-0.08259827586206897,0.014232413793103449,0.0002205275862068965,-0.02813655172413793,0.018223103448275865,0.018223103448275865
47,96900,350,-0.0810389655172414,0.014628275862068966,0.0001844896551724138,-0.02813655172413793,0.018223103448275865,0.018223103448275865
48,98700,361,-0.08129379310344828,0.014658965517241381,0.00018371724137931035,-0.02813655172413793,0.018223103448275865,0.018223103448275865
49,100500,45,-0.0593348275862069,0.017739310344827588,-0.0002523103448275862,-0.02813655172413793,0.018223103448275865,0.018223103448275865
50,102300,56,-0.06030241379310344,0.017943793103448277,-0.00045408965517241396,-0.02813655172413793,0.018223103448275865,0.018223103448275865
51,104100,248,-0.07802931034482757,0.015065862068965517,5.832848275862069e-05,-0.02813655172413793,0.018223103448275865,0.018223103448275865
52,105900,93,-0.06703310344827586,0.01703,-0.00033417586206896556,-0.02813655172413793,0.018223103448275865,0.018223103448275865
53,107700,155,-0.07279103448275863,0.016126896551724137,-0.00020451034482758622,-0.02813655172413793,0.018223103448275865,0.018223103448275865
54,109500,83,-0.06542344827586208,0.01725793103448276,-0.00044185862068965516,-0.02813655172413793,0.018223103448275865,0.018223103448275865
55,111300,178,-0.07438241379310345,0.015826206896551724,-0.00015733137931034483,-0.02813655172413793,0.018223103448275865,0.018223103448275865
56,113100,249,-0.07879241379310345,0.014984827586206898,-0.00010726275862068965,-0.02813655172413793,0.018223103448275865,0.018223103448275865
57,114900,192,-0.07602620689655172,0.015575862068965518,-0.00018993793103448274,-0.02813655172413793,0.018223103448275865,0.018223103448275865
58,116700,212,-0.07725689655172413,0.01519,-0.00020962068965517245,-0.02813655172413793,0.018223103448275865,0.018223103448275865
59,118500,131,-0.07168172413793102,0.016247586206896553,-0.00045761034482758614,-0.02813655172413793,0.018223103448275865,0.018223103448275865
60,120300,113,-0.06963103448275862,0.016551379310344828,-0.0005439137931034483,-0.02813655172413793,0.018223103448275865,0.018223103448275865
61,122100,45,-0.05864068965517241,0.017682758620689656,-0.0008461724137931035,-0.02813655172413793,0.018223103448275865,0.018223103448275865
62,123000,0,-0.028198275862068963,0.018680344827586213,-0.0010703448275862068,-0.028198275862068963,0.018680344827586213,0.018680344827586213
63,130200,2389,-0.1027793103448276,0.009982689655172416,-0.002589,-0.028198275862068963,0.018680344827586213,0.018680344827586213
64,132000,4844,-0.11347931034482761,0.009111655172413795,-0.007633620689655172,-0.028198275862068963,0.018680344827586213,0.018680344827586213
65,133800,1707,-0.10097931034482759,0.010386896551724138,-0.0012554827586206895,-0.028198275862068963,0.018680344827586213,0.018680344827586213
66,135600,2271,-0.10424827586206895,0.009814758620689657,-0.002272241379310345,-0.028198275862068963,0.018680344827586213,0.018680344827586213
67,137400,3221,-0.10837586206896552,0.009310137931034483,-0.0042048620689655175,-0.028198275862068963,0.018680344827586213,0.018680344827586213
68,139200,3551,-0.10938275862068964,0.009223689655172415,-0.004901310344827586,-0.028198275862068963,0.018680344827586213,0.018680344827586213
69,141000,3659,-0.1095137931034483,0.009183586206896553,-0.0051177241379310335,-0.028198275862068963,0.018680344827586213,0.018680344827586213
70,142800,1486,-0.09847379310344827,0.010761034482758624,-0.0010219206896551725,-0.028198275862068963,0.018680344827586213,0.018680344827586213
71,144600,577,-0.08855379310344827,0.013271034482758622,-0.00020739655172413794,-0.028198275862068963,0.018680344827586213,0.018680344827586213
72,146400,564,-0.08724137931034484,0.013320689655172411,-0.0003136241379310344,-0.028198275862068963,0.018680344827586213,0.018680344827586213
73,148200,334,-0.08065241379310345,0.014805517241379308,-0.00046037586206896554,-0.028198275862068963,0.018680344827586213,0.018680344827586213
74,150000,556,-0.08651034482758622,0.013339655172413792,-0.00043059655172413794,-0.028198275862068963,0.018680344827586213,0.018680344827586213
75,151800,523,-0.08591827586206896,0.013519655172413792,-0.00048378620689655175,-0.028198275862068963,0.018680344827586213,0.018680344827586213
76,153600,572,-0.08704586206896552,0.013238275862068964,-0.0005158310344827586,-0.028198275862068963,0.018680344827586213,0.018680344827586213
77,155400,571,-0.08709620689655174,0.013261034482758617,-0.0005555896551724137,-0.028198275862068963,0.018680344827586213,0.018680344827586213
78,157200,638,-0.08849413793103449,0.012868965517241381,-0.0005620068965517241,-0.028198275862068963,0.018680344827586213,0.018680344827586213
79,159000,372,-0.08215034482758622,0.014444827586206894,-0.0006457275862068965,-0.028198275862068963,0.018680344827586213,0.018680344827586213
80,160800,53,-0.06151310344827586,0.017656551724137933,-0.0012942413793103449,-0.028198275862068963,0.018680344827586213,0.018680344827586213
81,162600,89,-0.06645551724137932,0.017138620689655167,-0.0012515172413793104,-0.028198275862068963,0.018680344827586213,0.018680344827586213
82,164400,85,-0.0656251724137931,0.01722965517241379,-0.0013343793103448276,-0.028198275862068963,0.018680344827586213,0.018680344827586213
83,166200,112,-0.06891344827586207,0.01675758620689655,-0.0012353448275862068,-0.028198275862068963,0.018680344827586213,0.018680344827586213
84,168000,49,-0.0592658620689655,0.017757586206896554,-0.001517344827586207,-0.028198275862068963,0.018680344827586213,0.018680344827586213
85,169800,241,-0.07790068965517241,0.015091379310344825,-0.0010196137931034483,-0.028198275862068963,0.018680344827586213,0.018680344827586213
86,171600,178,-0.07503551724137933,0.015766206896551723,-0.0011197241379310345,-0.028198275862068963,0.018680344827586213,0.018680344827586213
87,173400,63,-0.06258827586206897,0.017662068965517242,-0.0016029655172413793,-0.028198275862068963,0.018680344827586213,0.018680344827586213
88,175200,246,-0.07853310344827587,0.015072068965517238,-0.001071796551724138,-0.028198275862068963,0.018680344827586213,0.018680344827586213
89,177000,162,-0.07413206896551726,0.016018620689655174,-0.001198206896551724,-0.028198275862068963,0.018680344827586213,0.018680344827586213
90,178800,57,-0.06155172413793103,0.01780206896551724,-0.001623793103448276,-0.028198275862068963,0.018680344827586213,0.018680344827586213
91,180600,80,-0.06493620689655173,0.017423103448275863,-0.001517689655172414,-0.028198275862068963,0.018680344827586213,0.018680344827586213
92,181500,0,-0.028620000000000003,0.019025862068965515,-0.0018347241379310345,-0.028620000000000003,0.019025862068965515,0.019025862068965515
93,188700,4633,-0.11134482758620688,0.009167137931034481,-0.007679517241379311,-0.028620000000000003,0.019025862068965515,0.019025862068965515
94,190500,1969,-0.10236896551724135,0.010161724137931035,-0.0023425172413793103,-0.028620000000000003,0.019025862068965515,0.019025862068965515
95,192300,4090,-0.11123103448275863,0.009175827586206897,-0.00658941379310345,-0.028620000000000003,0.019025862068965515,0.019025862068965515
96,194100,3558,-0.10952758620689658,0.009230241379310345,-0.005455724137931035,-0.028620000000000003,0.019025862068965515,0.019025862068965515
97,195900,2300,-0.10413103448275862,0.009788000000000002,-0.0029372068965517247,-0.028620000000000003,0.019025862068965515,0.019025862068965515
98,197700,1922,-0.10168965517241377,0.010176206896551724,-0.0023157241379310346,-0.028620000000000003,0.019025862068965515,0.019025862068965515
99,199500,3659,-0.10921379310344827,0.00920396551724138,-0.005720172413793103,-0.028620000000000003,0.019025862068965515,0.019025862068965515
100,201300,4230,-0.11078275862068968,0.009045758620689655,-0.006872206896551725,-0.028620000000000003,0.019025862068965515,0.019025862068965515
101,203100,576,-0.08881310344827587,0.013297931034482758,-0.0008565275862068968,-0.028620000000000003,0.019025862068965515,0.019025862068965515
102,204900,481,-0.08523241379310345,0.01383551724137931,-0.0010239827586206896,-0.028620000000000003,0.019025862068965515,0.019025862068965515
103,206700,616,-0.08778517241379309,0.013050689655172414,-0.001119448275862069,-0.028620000000000003,0.019025862068965515,0.019025862068965515
104,208500,512,-0.08567137931034483,0.013602413793103448,-0.0012089655172413793,-0.028620000000000003,0.019025862068965515,0.019025862068965515
105,210300,538,-0.08623034482758618,0.013423793103448274,-0.0012582758620689656,-0.028620000000000003,0.019025862068965515,0.019025862068965515
106,212100,589,-0.08731482758620691,0.013116206896551724,-0.001292551724137931,-0.028620000000000003,0.019025862068965515,0.019025862068965515
107,213900,457,-0.08437655172413795,0.01385,-0.0013234827586206899,-0.028620000000000003,0.019025862068965515,0.019025862068965515
108,215700,654,-0.08852482758620689,0.012712758620689655,-0.0013204482758620688,-0.028620000000000003,0.019025862068965515,0.019025862068965515
109,217500,353,-0.08137068965517241,0.014576551724137932,-0.0014366896551724138,-0.028620000000000003,0.019025862068965515,0.019025862068965515
110,219300,105,-0.06946551724137931,0.016808620689655173,-0.0017957931034482762,-0.028620000000000003,0.019025862068965515,0.019025862068965515
111,221100,147,-0.07262206896551723,0.016216896551724137,-0.0017612758620689653,-0.028620000000000003,0.019025862068965515,0.019025862068965515
112,222900,72,-0.06408724137931035,0.01750896551724138,-0.002160310344827586,-0.028620000000000003,0.019025862068965515,0.019025862068965515
113,224700,135,-0.07116206896551726,0.01640103448275862,-0.0018977931034482756,-0.028620000000000003,0.019025862068965515,0.019025862068965515
114,226500,157,-0.07321241379310345,0.01602793103448276,-0.001888,-0.028620000000000003,0.019025862068965515,0.019025862068965515
115,228300,180,-0.07503965517241379,0.015723448275862067,-0.0018653793103448279,-0.028620000000000003,0.019025862068965515,0.019025862068965515
116,230100,45,-0.05906862068965519,0.017769310344827583,-0.002275344827586207,-0.028620000000000003,0.019025862068965515,0.019025862068965515
117,231900,142,-0.07168275862068965,0.016266896551724138,-0.0020079310344827584,-0.028620000000000003,0.019025862068965515,0.019025862068965515
118,233700,98,-0.06748793103448276,0.016869655172413792,-0.002124620689655172,-0.028620000000000003,0.019025862068965515,0.019025862068965515
119,235500,230,-0.07771448275862068,0.015146206896551724,-0.0018631379310344823,-0.028620000000000003,0.019025862068965515,0.019025862068965515
120,237300,200,-0.07657137931034481,0.015405172413793107,-0.0018995172413793105,-0.028620000000000003,0.019025862068965515,0.019025862068965515
121,239100,112,-0.06985862068965518,0.01668275862068966,-0.0021783103448275863,-0.028620000000000003,0.019025862068965515,0.019025862068965515
